"Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"1","2016","12353","Henry Burris","QB","Ott","x","x","23.418","10400"
"1","2016","12354","Mike Reilly","QB","Edm","x","x","21.136","10100"
"1","2016","12355","Zach Collaros","QB","Ham","x","x","21.703","9900"
"1","2016","12356","Drew Willy","QB","Wpg","x","x","15.066","9600"
"1","2016","12357","Bo Levi Mitchell","QB","Cgy","x","x","19.638","9500"
"1","2016","12358","Ricky Ray","QB","Tor","x","x","8.14","9300"
"1","2016","12359","Kevin Glenn","QB","Mtl","x","x","15.217","8700"
"1","2016","12360","Jeremiah Masoli","QB","Ham","x","x","17.62","8400"
"1","2016","12361","Jonathon Jennings","QB","BC","x","x","13.33","8300"
"1","2016","12362","Travis Lulay","QB","BC","x","x","14.272","8100"
"1","2016","12363","Trevor Harris","QB","Ott","x","x","19.904","7700"
"1","2016","12364","Jeff Mathews","QB","Ham","x","x","7.433","7600"
"1","2016","12365","Drew Tate","QB","Cgy","x","x","3.476","7100"
"1","2016","12366","Matt Nichols","QB","Wpg","x","x","12.819","7000"
"1","2016","12367","James Franklin","QB","Edm","x","x","12.131","6700"
"1","2016","12368","Rakeem Cato","QB","Mtl","x","x","13.244","6300"
"1","2016","12369","Jonathan Crompton","QB","Mtl","x","x","6.82","6000"
"1","2016","12370","Dominique Davis","QB","Wpg","x","x","10.16","6000"
"1","2016","12371","Jacory Harris","QB","Ham","x","x","2.033","6000"
"1","2016","12372","Jordan Lynch","QB","Edm","x","x","2.448","6000"
"1","2016","12373","Thomas DeMarco","QB","Edm","x","x","0.06","6000"
"1","2016","12374","Keith Price","QB","BC","x","x","10.49","6000"
"1","2016","12375","Brock Jensen","QB","Ott","x","x","0","6000"
"1","2016","12376","Logan Kilgore","QB","Tor","x","x","0","6000"
"1","2016","12377","Bryan Bennett","QB","Wpg","x","x","0","6000"
"1","2016","12378","Cody Fajardo","QB","Tor","x","x","0","6000"
"1","2016","12379","Brandon Bridge","QB","Mtl","x","x","0.72","6000"
"1","2016","12380","Vernon Adams Jr.","QB","Mtl","x","x","0","6000"
"1","2016","12381","Jake Waters","QB","Ham","x","x","0","6000"
"1","2016","12382","Mitchell Gale","QB","Tor","x","x","4.26","6000"
"1","2016","12383","Danny O'Brien","QB","Ott","x","x","1.373","6000"
"1","2016","12384","Andrew Buckley","QB","Cgy","x","x","0","6000"
"1","2016","12385","Andrew Harris","RB","Wpg","x","x","14.961","8000"
"1","2016","12386","Jeremiah Johnson","RB","BC","x","x","17.38","7500"
"1","2016","12387","Tyrell Sutton","RB","Mtl","x","x","15.05","7300"
"1","2016","12388","John White","RB","Edm","x","x","0","6800"
"1","2016","12389","Jerome Messam","RB","Cgy","x","x","13.194","6700"
"1","2016","12390","C.J. Gable","RB","Ham","x","x","10.1","6500"
"1","2016","12391","Brandon Whitaker","RB","Tor","x","x","13.24","6300"
"1","2016","12392","Travon Van","RB","Ott","x","x","4.1","6100"
"1","2016","12393","Chris Rainey","RB","BC","x","x","11.622","5900"
"1","2016","12394","Brandon Rutley","RB","Mtl","x","x","9.559","5900"
"1","2016","12395","Anthony Allen","RB","BC","x","x","6.418","5600"
"1","2016","12396","Stefan Logan","RB","Mtl","x","x","8.841","5200"
"1","2016","12397","Tory Harrison","RB","Cgy","x","x","9.027","4900"
"1","2016","12398","Shakir Bell","RB","Edm","x","x","10.518","4700"
"1","2016","12399","Roy Finch","RB","Cgy","x","x","0","4600"
"1","2016","12400","Anthony Coombs","RB","Tor","x","x","7.476","4500"
"1","2016","12401","Travis Greene","RB","Ott","x","x","0","4000"
"1","2016","12402","J.C. Coleman","RB","BC","x","x","0","3700"
"1","2016","12403","Joe McKnight","RB","Edm","x","x","0","3500"
"1","2016","12404","Mercer Timmis","RB","Ham","x","x","0","3300"
"1","2016","12405","Wayne Moore","RB","Mtl","x","x","0","3200"
"1","2016","12406","Henry Josey","RB","Tor","x","x","3.143","2900"
"1","2016","12407","Da'Rel Scott","RB","Ham","x","x","2.863","2800"
"1","2016","12408","Cam McDaniel","RB","Mtl","x","x","0","2700"
"1","2016","12409","Shaquille Murray-Lawrence","RB","BC","x","x","4.603","2700"
"1","2016","12410","Greg Morris","RB","Edm","x","x","1.463","2600"
"1","2016","12411","Declan Cross","RB","Tor","x","x","0","2600"
"1","2016","12412","Calvin McCarty","RB","Edm","x","x","0","2500"
"1","2016","12413","Rolly Lumbala","RB","BC","x","x","0","2500"
"1","2016","12414","Rob Cote","RB","Cgy","x","x","1.985","2500"
"1","2016","12415","Tim Flanders","RB","Wpg","x","x","1.5","2500"
"1","2016","12416","William Powell","RB","Ott","x","x","16.543","2500"
"1","2016","12417","Carl-Olivier Prime","RB","Ham","x","x","0","2500"
"1","2016","12418","Ross Scheuerman","RB","Ham","x","x","0","2500"
